user_id,item_id,interaction_type,rating,timestamp
1,1,view,5,2024-01-15 10:30:00
1,2,click,4,2024-01-15 11:00:00
1,3,add_to_cart,4,2024-01-15 11:30:00
1,4,purchase,5,2024-01-15 12:00:00
2,1,view,3,2024-01-16 09:15:00
2,5,click,4,2024-01-16 09:45:00
2,6,add_to_cart,5,2024-01-16 10:15:00
2,7,purchase,4,2024-01-16 10:45:00
3,8,view,3,2024-01-17 14:20:00
3,9,click,4,2024-01-17 14:50:00
3,10,add_to_cart,3,2024-01-17 15:20:00
3,11,purchase,5,2024-01-17 15:50:00
4,12,view,4,2024-01-18 16:10:00
4,13,click,3,2024-01-18 16:40:00
4,14,add_to_cart,5,2024-01-18 17:10:00
4,15,purchase,4,2024-01-18 17:40:00
5,16,view,3,2024-01-19 08:30:00
5,17,click,5,2024-01-19 09:00:00
5,18,add_to_cart,4,2024-01-19 09:30:00
5,19,purchase,3,2024-01-19 10:00:00
6,20,view,4,2024-01-20 13:15:00
6,1,click,5,2024-01-20 13:45:00
6,2,add_to_cart,3,2024-01-20 14:15:00
6,3,purchase,4,2024-01-20 14:45:00
7,4,view,5,2024-01-21 11:20:00
7,5,click,3,2024-01-21 11:50:00
7,6,add_to_cart,4,2024-01-21 12:20:00
7,7,purchase,5,2024-01-21 12:50:00
8,8,view,4,2024-01-22 15:30:00
8,9,click,3,2024-01-22 16:00:00
8,10,add_to_cart,5,2024-01-22 16:30:00
8,11,purchase,4,2024-01-22 17:00:00
9,12,view,3,2024-01-23 09:45:00
9,13,click,5,2024-01-23 10:15:00
9,14,add_to_cart,4,2024-01-23 10:45:00
9,15,purchase,3,2024-01-23 11:15:00
10,16,view,5,2024-01-24 14:00:00
10,17,click,4,2024-01-24 14:30:00
10,18,add_to_cart,3,2024-01-24 15:00:00
10,19,purchase,5,2024-01-24 15:30:00
1,20,view,4,2024-01-25 10:00:00
2,10,click,3,2024-01-25 11:00:00
3,15,add_to_cart,5,2024-01-25 12:00:00
4,5,purchase,4,2024-01-25 13:00:00
5,8,view,3,2024-01-25 14:00:00
6,12,click,5,2024-01-25 15:00:00
7,18,add_to_cart,4,2024-01-25 16:00:00
8,3,purchase,3,2024-01-25 17:00:00
9,7,view,5,2024-01-25 18:00:00
10,11,click,4,2024-01-25 19:00:00
