id,collector,location,timestamp,gender,age_group,occupation,venue_preference,price_influence,satisfaction,amenities_importance,service_quality,value_for_money,visit_frequency,annual_spending,recommendation_score
1,Surveyor A,Practice Course A,2023-10-26 10:00:00,Male,26-35 years old,Business Executive,Public course,4,2,2,5,2,2-3 times per month,14644,10
2,Surveyor A,Practice Course B,2023-10-26 10:01:00,Female,46-55 years old,Engineer,"Resort course,Member club",5,5,4,1,1,Once a month,11453,5
3,Surveyor C,Public Golf Course D,2023-10-26 10:02:00,Female,26-35 years old,Sales Person,Resort course,3,4,5,4,1,Once a month,16093,3
4,Surveyor B,Resort Golf Course E,2023-10-26 10:03:00,Male,18-25 years old,Business Executive,"Resort course,Practice course",5,4,4,4,1,Once a month,16263,9
5,Surveyor B,Member Golf Club C,2023-10-26 10:04:00,Male,36-45 years old,Business Executive,Member club,5,5,4,5,3,2-3 times per month,5305,5
6,Surveyor B,Member Golf Club C,2023-10-26 10:05:00,Male,26-35 years old,Business Executive,Member club,2,5,5,3,5,Several times per year,39152,10
7,Surveyor A,Resort Golf Course E,2023-10-26 10:06:00,Female,26-35 years old,Retiree,"Resort course,Member club,Public course",3,5,4,5,5,Once a quarter,37021,2
8,Surveyor E,Public Golf Course D,2023-10-26 10:07:00,Male,18-25 years old,Retiree,"Public course,Resort course",3,3,5,2,4,Once a week,22958,4
9,Surveyor A,Resort Golf Course E,2023-10-26 10:08:00,Male,65+ years old,Doctor,"Resort course,Practice course",3,4,5,5,1,Once a week,5872,4
10,Surveyor E,Member Golf Club C,2023-10-26 10:09:00,Male,65+ years old,Civil Servant,"Practice course,Member club,Resort course",5,4,5,2,3,Once a quarter,46128,5
11,Surveyor D,Resort Golf Course E,2023-10-26 10:10:00,Male,56-65 years old,Doctor,Practice course,4,3,2,1,2,Once a week,26962,8
12,Surveyor A,Member Golf Club C,2023-10-26 10:11:00,Male,18-25 years old,Freelancer,"Practice course,Resort course,Public course",3,5,3,4,2,Several times per year,47563,5
13,Surveyor A,Public Golf Course D,2023-10-26 10:12:00,Female,18-25 years old,Retiree,"Member club,Resort course,Practice course",5,2,2,4,4,Several times per year,22414,1
14,Surveyor A,Practice Course B,2023-10-26 10:13:00,Female,65+ years old,Doctor,"Resort course,Public course,Member club",2,5,5,3,4,2-3 times per month,14926,2
15,Surveyor B,Public Golf Course D,2023-10-26 10:14:00,Female,65+ years old,Civil Servant,Public course,4,5,3,5,1,2-3 times per month,44673,3
16,Surveyor B,Resort Golf Course E,2023-10-26 10:15:00,Female,26-35 years old,Business Executive,"Practice course,Member club,Resort course",2,3,3,1,1,Once a month,42210,3
17,Surveyor E,Resort Golf Course E,2023-10-26 10:16:00,Female,46-55 years old,Doctor,Member club,4,4,5,2,2,Once a quarter,20290,10
18,Surveyor E,Public Golf Course D,2023-10-26 10:17:00,Female,18-25 years old,Engineer,"Practice course,Public course",5,5,3,3,2,Once a week,8667,6
19,Surveyor A,Practice Course B,2023-10-26 10:18:00,Female,18-25 years old,Engineer,"Practice course,Resort course,Member club",1,4,3,1,2,Once a quarter,22660,9
20,Surveyor E,Member Golf Club C,2023-10-26 10:19:00,Female,26-35 years old,Doctor,Resort course,4,1,2,1,2,Several times per year,11553,10
21,Surveyor B,Resort Golf Course E,2023-10-26 10:20:00,Female,26-35 years old,Freelancer,Member club,2,4,3,2,5,2-3 times per month,21926,1
22,Surveyor E,Resort Golf Course E,2023-10-26 10:21:00,Female,26-35 years old,Retiree,Member club,5,2,5,2,1,Once a quarter,9808,6
23,Surveyor D,Public Golf Course D,2023-10-26 10:22:00,Male,26-35 years old,Engineer,"Public course,Resort course",4,2,1,4,1,2-3 times per month,33612,9
24,Surveyor B,Member Golf Club C,2023-10-26 10:23:00,Female,56-65 years old,Engineer,"Member club,Resort course,Practice course",1,5,1,5,2,Once a month,45499,4
25,Surveyor D,Member Golf Club C,2023-10-26 10:24:00,Female,36-45 years old,Sales Person,Practice course,1,4,1,3,3,Once a week,33015,10
26,Surveyor E,Resort Golf Course E,2023-10-26 10:25:00,Female,36-45 years old,Engineer,"Member club,Practice course",3,5,5,5,2,Once a quarter,38351,3
27,Surveyor C,Member Golf Club C,2023-10-26 10:26:00,Male,46-55 years old,Business Executive,"Member club,Practice course",3,3,1,3,4,Once a month,14138,6
28,Surveyor A,Public Golf Course D,2023-10-26 10:27:00,Female,65+ years old,Lawyer,"Member club,Practice course",2,2,2,1,3,2-3 times per month,45463,6
29,Surveyor B,Practice Course B,2023-10-26 10:28:00,Female,65+ years old,Engineer,Public course,4,5,5,2,4,Once a week,41241,2
30,Surveyor D,Practice Course A,2023-10-26 10:29:00,Male,46-55 years old,Doctor,Member club,4,3,5,2,3,Once a quarter,6198,5
31,Surveyor C,Practice Course B,2023-10-26 10:30:00,Male,18-25 years old,Civil Servant,Practice course,3,5,5,1,4,Once a week,32447,1
32,Surveyor C,Public Golf Course D,2023-10-26 10:31:00,Female,56-65 years old,Business Executive,Practice course,4,4,3,1,2,2-3 times per month,41763,9
33,Surveyor B,Practice Course B,2023-10-26 10:32:00,Female,36-45 years old,Doctor,"Member club,Practice course,Public course",4,4,3,3,2,2-3 times per month,17113,9
34,Surveyor B,Practice Course A,2023-10-26 10:33:00,Male,46-55 years old,Lawyer,Resort course,1,4,3,1,3,Once a month,33749,3
35,Surveyor C,Practice Course B,2023-10-26 10:34:00,Male,18-25 years old,Engineer,"Member club,Practice course",3,4,4,3,4,Once a week,42303,5
36,Surveyor A,Resort Golf Course E,2023-10-26 10:35:00,Male,65+ years old,Lawyer,"Public course,Resort course",5,1,2,5,5,2-3 times per month,43639,3
37,Surveyor A,Public Golf Course D,2023-10-26 10:36:00,Female,65+ years old,Sales Person,"Resort course,Public course",3,3,5,2,3,Several times per year,24687,7
38,Surveyor D,Member Golf Club C,2023-10-26 10:37:00,Male,65+ years old,Sales Person,"Practice course,Public course",5,3,5,2,3,Once a month,7447,1
39,Surveyor A,Resort Golf Course E,2023-10-26 10:38:00,Female,46-55 years old,Lawyer,"Practice course,Member club,Public course",1,4,3,2,1,2-3 times per month,14408,5
40,Surveyor C,Resort Golf Course E,2023-10-26 10:39:00,Female,56-65 years old,Freelancer,Public course,2,1,5,5,3,Several times per year,44612,6
41,Surveyor C,Practice Course A,2023-10-26 10:40:00,Female,18-25 years old,Business Executive,"Practice course,Resort course",4,4,5,5,5,Several times per year,22674,7
42,Surveyor E,Practice Course B,2023-10-26 10:41:00,Female,18-25 years old,Retiree,Public course,1,1,1,4,2,Several times per year,17413,3
43,Surveyor C,Public Golf Course D,2023-10-26 10:42:00,Male,26-35 years old,Sales Person,"Member club,Practice course,Public course",4,4,5,3,4,Once a month,12549,7
44,Surveyor A,Practice Course A,2023-10-26 10:43:00,Male,56-65 years old,Doctor,Public course,2,2,4,3,1,Once a month,28071,4
45,Surveyor D,Practice Course A,2023-10-26 10:44:00,Female,18-25 years old,Lawyer,"Member club,Public course,Resort course",2,2,3,4,4,2-3 times per month,13693,10
46,Surveyor E,Practice Course B,2023-10-26 10:45:00,Male,26-35 years old,Teacher,Member club,1,5,2,2,2,Once a quarter,48831,6
47,Surveyor A,Public Golf Course D,2023-10-26 10:46:00,Female,26-35 years old,Teacher,Member club,2,4,2,3,3,Several times per year,21770,5
48,Surveyor D,Resort Golf Course E,2023-10-26 10:47:00,Male,56-65 years old,Freelancer,"Resort course,Public course",5,3,1,3,5,Several times per year,46371,4
49,Surveyor A,Public Golf Course D,2023-10-26 10:48:00,Female,46-55 years old,Retiree,Member club,2,5,2,2,1,Once a month,7006,6
50,Surveyor E,Practice Course A,2023-10-26 10:49:00,Female,18-25 years old,Business Executive,"Public course,Practice course",4,2,2,1,5,2-3 times per month,10213,3
51,Surveyor C,Practice Course A,2023-10-26 10:50:00,Male,36-45 years old,Engineer,Resort course,4,4,3,1,5,2-3 times per month,41636,3
52,Surveyor E,Member Golf Club C,2023-10-26 10:51:00,Female,65+ years old,Civil Servant,Member club,4,5,3,4,5,Once a quarter,14530,5
53,Surveyor C,Practice Course B,2023-10-26 10:52:00,Female,18-25 years old,Teacher,"Resort course,Practice course",4,4,4,5,5,Once a week,11637,5
54,Surveyor E,Member Golf Club C,2023-10-26 10:53:00,Male,56-65 years old,Lawyer,Practice course,5,2,1,3,2,Once a quarter,9964,9
55,Surveyor B,Practice Course A,2023-10-26 10:54:00,Female,36-45 years old,Doctor,"Practice course,Member club",3,5,2,3,5,Several times per year,39070,4
56,Surveyor A,Resort Golf Course E,2023-10-26 10:55:00,Female,56-65 years old,Engineer,Resort course,1,2,4,4,5,Once a month,12749,5
57,Surveyor A,Practice Course A,2023-10-26 10:56:00,Female,26-35 years old,Engineer,Resort course,4,1,1,4,2,Several times per year,5846,9
58,Surveyor B,Public Golf Course D,2023-10-26 10:57:00,Male,46-55 years old,Civil Servant,"Member club,Resort course",2,2,2,3,4,Once a quarter,18390,4
59,Surveyor C,Public Golf Course D,2023-10-26 10:58:00,Female,26-35 years old,Civil Servant,"Member club,Practice course",4,4,2,2,2,Once a month,18735,3
60,Surveyor A,Resort Golf Course E,2023-10-26 10:59:00,Female,26-35 years old,Engineer,"Practice course,Public course,Resort course",2,3,3,2,3,Once a month,28905,7
61,Surveyor B,Resort Golf Course E,2023-10-26 11:00:00,Male,56-65 years old,Lawyer,"Practice course,Public course,Member club",2,2,5,5,2,Once a month,19876,7
62,Surveyor A,Member Golf Club C,2023-10-26 11:01:00,Male,18-25 years old,Doctor,Member club,4,3,1,3,4,Several times per year,18967,8
63,Surveyor D,Resort Golf Course E,2023-10-26 11:02:00,Male,65+ years old,Business Executive,"Resort course,Public course",5,1,2,3,3,Once a month,23262,4
64,Surveyor C,Practice Course A,2023-10-26 11:03:00,Male,65+ years old,Technical Professional,"Resort course,Practice course",2,5,1,3,3,Several times per year,41873,4
65,Surveyor D,Practice Course B,2023-10-26 11:04:00,Female,56-65 years old,Engineer,Member club,2,5,4,3,1,Once a month,25014,9
66,Surveyor C,Public Golf Course D,2023-10-26 11:05:00,Male,36-45 years old,Lawyer,"Public course,Resort course,Practice course",4,3,4,4,5,Once a quarter,29054,10
67,Surveyor B,Public Golf Course D,2023-10-26 11:06:00,Female,36-45 years old,Retiree,"Public course,Resort course",2,5,5,1,3,Several times per year,34955,7
68,Surveyor C,Practice Course A,2023-10-26 11:07:00,Female,56-65 years old,Retiree,"Practice course,Member club,Public course",2,2,2,3,3,Once a week,28051,3
69,Surveyor C,Practice Course B,2023-10-26 11:08:00,Male,36-45 years old,Lawyer,"Practice course,Public course",4,3,3,1,4,2-3 times per month,33385,9
70,Surveyor B,Resort Golf Course E,2023-10-26 11:09:00,Female,56-65 years old,Teacher,Public course,4,4,2,2,3,Once a quarter,40587,5
71,Surveyor C,Member Golf Club C,2023-10-26 11:10:00,Male,46-55 years old,Business Executive,"Practice course,Member club",1,2,1,5,4,2-3 times per month,32483,4
72,Surveyor A,Practice Course B,2023-10-26 11:11:00,Female,26-35 years old,Business Executive,"Public course,Practice course",5,2,4,2,5,Once a week,32653,1
73,Surveyor E,Practice Course A,2023-10-26 11:12:00,Male,26-35 years old,Engineer,Resort course,5,2,1,3,1,Once a quarter,45845,9
74,Surveyor B,Resort Golf Course E,2023-10-26 11:13:00,Male,56-65 years old,Civil Servant,Resort course,2,4,5,2,1,Once a month,49790,6
75,Surveyor E,Resort Golf Course E,2023-10-26 11:14:00,Male,36-45 years old,Civil Servant,"Resort course,Practice course",5,1,4,4,5,2-3 times per month,47018,2
76,Surveyor B,Resort Golf Course E,2023-10-26 11:15:00,Male,36-45 years old,Technical Professional,"Resort course,Member club",2,5,3,1,5,Once a quarter,35894,7
77,Surveyor B,Practice Course B,2023-10-26 11:16:00,Male,26-35 years old,Civil Servant,Resort course,1,3,4,3,2,Once a week,34842,3
78,Surveyor D,Resort Golf Course E,2023-10-26 11:17:00,Male,36-45 years old,Civil Servant,"Member club,Resort course,Practice course",4,1,2,4,3,Several times per year,24648,6
79,Surveyor D,Practice Course B,2023-10-26 11:18:00,Female,36-45 years old,Doctor,Public course,4,3,2,1,3,2-3 times per month,36756,8
80,Surveyor C,Practice Course A,2023-10-26 11:19:00,Male,46-55 years old,Civil Servant,"Resort course,Public course",4,5,4,4,3,2-3 times per month,27407,3
81,Surveyor E,Member Golf Club C,2023-10-26 11:20:00,Male,18-25 years old,Sales Person,"Practice course,Member club",5,4,5,2,4,2-3 times per month,49561,5
82,Surveyor B,Practice Course B,2023-10-26 11:21:00,Female,65+ years old,Engineer,Resort course,1,2,2,3,2,Once a month,22058,6
83,Surveyor C,Practice Course A,2023-10-26 11:22:00,Female,36-45 years old,Sales Person,Public course,5,2,2,2,3,Once a week,15070,1
84,Surveyor A,Practice Course B,2023-10-26 11:23:00,Female,46-55 years old,Sales Person,"Member club,Public course",5,4,3,5,4,2-3 times per month,44025,10
85,Surveyor B,Practice Course A,2023-10-26 11:24:00,Male,18-25 years old,Doctor,"Member club,Public course",1,1,4,3,4,2-3 times per month,38779,7
86,Surveyor A,Member Golf Club C,2023-10-26 11:25:00,Female,46-55 years old,Engineer,Practice course,1,1,2,2,1,Several times per year,21616,4
87,Surveyor C,Public Golf Course D,2023-10-26 11:26:00,Female,56-65 years old,Civil Servant,"Member club,Resort course,Practice course",1,3,5,3,4,2-3 times per month,35373,10
88,Surveyor D,Member Golf Club C,2023-10-26 11:27:00,Male,65+ years old,Lawyer,"Practice course,Public course",1,4,1,1,5,Once a quarter,39941,7
89,Surveyor C,Public Golf Course D,2023-10-26 11:28:00,Male,65+ years old,Retiree,"Member club,Public course",4,1,4,3,4,2-3 times per month,41152,7
90,Surveyor A,Public Golf Course D,2023-10-26 11:29:00,Female,56-65 years old,Technical Professional,"Practice course,Member club",3,4,3,3,5,Once a quarter,5797,5
91,Surveyor B,Resort Golf Course E,2023-10-26 11:30:00,Male,46-55 years old,Engineer,"Member club,Practice course",3,5,2,1,5,Once a quarter,44889,8
92,Surveyor E,Practice Course B,2023-10-26 11:31:00,Female,26-35 years old,Business Executive,"Practice course,Member club",1,2,5,2,1,Once a week,18594,8
93,Surveyor C,Resort Golf Course E,2023-10-26 11:32:00,Male,26-35 years old,Technical Professional,"Public course,Resort course,Member club",3,2,4,3,1,Once a quarter,12690,5
94,Surveyor B,Practice Course A,2023-10-26 11:33:00,Male,18-25 years old,Technical Professional,"Practice course,Resort course",3,2,5,4,4,Once a quarter,17669,5
95,Surveyor D,Practice Course A,2023-10-26 11:34:00,Female,18-25 years old,Civil Servant,Resort course,1,4,5,3,1,Once a month,23973,7
96,Surveyor D,Practice Course A,2023-10-26 11:35:00,Female,46-55 years old,Doctor,Resort course,3,4,3,2,1,Once a week,26085,6
97,Surveyor D,Resort Golf Course E,2023-10-26 11:36:00,Female,18-25 years old,Technical Professional,"Public course,Member club,Practice course",5,3,4,1,3,Once a month,33787,4
98,Surveyor B,Member Golf Club C,2023-10-26 11:37:00,Female,65+ years old,Technical Professional,Member club,2,2,2,2,4,Once a week,30084,2
99,Surveyor C,Resort Golf Course E,2023-10-26 11:38:00,Male,26-35 years old,Lawyer,"Resort course,Practice course,Member club",2,3,3,5,4,Once a month,29051,8
100,Surveyor B,Resort Golf Course E,2023-10-26 11:39:00,Male,26-35 years old,Freelancer,Public course,1,2,2,3,4,Once a quarter,16554,3
101,Surveyor B,Member Golf Club C,2023-10-26 11:40:00,Female,56-65 years old,Doctor,Practice course,4,3,1,3,1,Once a month,42639,2
102,Surveyor E,Member Golf Club C,2023-10-26 11:41:00,Male,65+ years old,Freelancer,Practice course,1,3,5,1,1,Once a month,18354,10
103,Surveyor E,Member Golf Club C,2023-10-26 11:42:00,Female,65+ years old,Freelancer,"Practice course,Member club,Resort course",4,5,1,3,5,Once a week,10289,7
104,Surveyor C,Practice Course B,2023-10-26 11:43:00,Male,36-45 years old,Engineer,Public course,2,3,5,4,2,Once a week,29744,10
105,Surveyor E,Resort Golf Course E,2023-10-26 11:44:00,Male,65+ years old,Business Executive,"Practice course,Public course",1,4,3,4,2,2-3 times per month,22945,6
