# SEIR State Data Summary - Hubei Province COVID-19 Real Data
# Processing Time: 2025-09-10 14:49:03.606229
# Data Source: Hubei Province COVID-19 Epidemic Data
# Total Population: 59170000
# Data Points: 77
# Format: Time	Susceptible	Exposed	Infected	Recovered
0	59160468	7943	1589	0
1	59168411	0	1589	0
2	59159914	7081	2622	383
3	59166995	0	2622	383
4	59166995	0	2622	383
5	59165369	1626	2322	683
6	59165369	1626	2322	683
7	59165369	1626	1981	1024
8	59163743	1626	3142	1489
9	59165369	0	3142	1489
10	59165369	0	3142	1489
11	59165369	0	3142	1489
12	59165369	0	3142	1489
13	59164960	409	3117	1514
14	59164960	409	3117	1514
15	59164301	1068	2657	1974
16	59164301	1068	2657	1974
17	59160451	4509	3066	1974
18	59160861	4099	3066	1974
19	59160202	4099	2769	2930
20	59157951	6350	2769	2930
21	59154046	6814	4258	4882
22	59155906	4954	4258	4882
23	59155192	5668	4206	4934
24	59149288	8663	6545	5503
25	59147885	9602	5279	7235
26	59146505	9401	6043	8051
27	59146887	8306	5709	9099
28	59141420	10777	6316	11487
29	59137084	11266	8547	13103
30	59137749	10337	7718	14196
31	59134420	13181	7150	15250
32	59130965	13449	8398	17187
33	59127554	13378	8962	20107
34	59126896	11117	9232	22755
35	59123289	11616	9716	25379
36	59123706	10445	8591	27258
37	59118915	12123	9213	29750
38	59119422	10392	8515	31671
39	59114778	11619	8134	35470
40	59115077	9383	7034	38506
41	59110477	11551	7387	40584
42	59110695	9950	7338	42016
43	59107805	10390	5757	46049
44	59109074	7940	4680	48306
45	59106151	6758	4078	53012
46	59108573	3505	2787	55135
47	59106769	3486	2241	57503
48	59105839	4417	1779	57966
49	59104185	6071	1779	57966
50	59103333	6071	1445	59151
51	59103372	5220	649	60759
52	59101432	4407	1117	63044
53	59102122	2062	1002	64813
54	59103776	408	1002	64813
55	59102633	1551	1002	64813
56	59102633	1551	1002	64813
57	59102100	1677	393	65830
58	59102508	1269	368	65855
59	59100700	1933	1511	65855
60	59101843	790	1511	65855
61	59101718	790	1358	66134
62	59101467	1041	1298	66194
63	59100802	1041	948	67209
64	59101467	376	948	67209
65	59101467	376	948	67209
66	59101091	376	961	67572
67	59101467	0	961	67572
68	59101467	0	961	67572
69	59101467	0	960	67573
70	59101467	0	960	67573
71	59101025	442	960	67573
72	59101025	442	960	67573
73	59100914	553	960	67573
74	59100730	737	960	67573
75	59099919	1106	939	68036
76	59101025	0	939	68036
