# SEIR状态数据汇总 - 湖北省COVID-19真实数据
# 处理时间: 2025-08-21 21:21:31.775022
# 数据来源: 湖北省COVID-19疫情数据
# 总人口: 59170000
# 数据点数: 77
# 格式: 时间	易感者	潜伏者	感染者	康复者
0	59169367	0	0	633
1	59165960	3367	40	633
2	59169327	0	0	673
3	59169327	0	0	673
4	59167917	1175	235	673
5	59168124	967	235	673
6	59167199	967	1160	673
7	59167822	344	1160	673
8	59166661	1506	1160	673
9	59166619	1506	1202	673
10	59165786	2339	1202	673
11	59165005	2817	1292	886
12	59163100	3560	2453	886
13	59164262	2399	2453	886
14	59163291	2494	2125	2089
15	59163208	2099	2494	2198
16	59162641	1621	3540	2198
17	59163061	1201	3540	2198
18	59161718	2448	3516	2317
19	59159723	3963	3966	2347
20	59159145	4542	3213	3101
21	59156639	6422	3812	3127
22	59154858	6955	3853	4334
23	59150580	9624	5463	4334
24	59151036	8109	5831	5023
25	59149676	7589	6664	6071
26	59147413	8692	6412	7483
27	59143646	8543	7674	10136
28	59144478	7616	7472	10434
29	59140176	11381	7309	11135
30	59136284	12289	7988	13439
31	59135685	11877	6837	15601
32	59129767	14807	7956	17470
33	59125723	14990	8728	20558
34	59125342	13925	8583	22149
35	59124100	12596	9493	23811
36	59119562	13193	9170	28076
37	59117810	11773	8610	31807
38	59116699	10090	9078	34133
39	59118436	8235	8268	35060
40	59111755	11748	8214	38283
41	59111955	9027	6854	42164
42	59111274	8220	5924	44583
43	59110753	7800	6562	44884
44	59106595	8329	4011	51065
45	59106375	8102	3557	51966
46	59105107	7655	3336	53901
47	59105752	5941	1359	56947
48	59105352	4872	1284	58492
49	59102856	3966	820	62359
50	59104534	2288	795	62383
51	59104534	2288	795	62383
52	59104534	2288	795	62383
53	59103971	2288	998	62744
54	59100810	3724	952	64514
55	59102534	2000	952	64514
56	59101137	3397	935	64531
57	59101137	3397	935	64531
58	59099137	3397	1186	66280
59	59101137	1398	1186	66280
60	59099739	1398	840	68023
61	59101137	0	840	68023
62	59101137	0	840	68023
63	59099325	1811	840	68023
64	59099325	1811	840	68023
65	59099325	1811	840	68023
66	59099325	1811	840	68023
67	59097514	1811	1971	68703
68	59099325	0	1955	68720
69	59099325	0	1955	68720
70	59099325	0	1955	68720
71	59099325	0	1955	68720
72	59099325	0	1955	68720
73	59099325	0	1944	68731
74	59099325	0	1944	68731
75	59099325	0	1944	68731
76	59099325	0	1944	68731
