participant_id,item_1,item_2,item_3,item_4,item_5,item_6,item_7,item_8
S001,4,5,4,4,5,4,3,4
S002,3,1,2,3,2,3,2,2
S003,5,4,5,5,3,4,4,3
S004,3,3,4,3,6,4,4,6
S005,4,4,3,4,4,5,4,3
S006,3,4,5,4,3,3,4,4
S007,2,2,4,4,3,4,3,3
S008,4,6,2,5,6,5,5,4
S009,4,3,3,3,5,4,3,4
S010,3,4,3,3,5,5,4,5
S011,2,1,2,3,4,3,3,2
S012,2,4,1,2,3,2,3,3
S013,5,3,5,5,2,2,3,2
S014,1,2,1,4,3,3,3,2
S015,3,4,4,5,4,4,5,6
S016,3,4,4,3,5,4,3,5
S017,4,2,3,3,5,6,4,4
S018,2,3,3,3,2,4,2,4
S019,3,4,4,4,3,3,2,1
S020,3,3,3,4,4,4,4,4
S021,5,5,3,3,5,5,5,7
S022,5,5,4,5,4,5,4,5
S023,6,4,6,5,2,1,2,2
S024,3,2,4,3,2,4,3,4
S025,3,3,2,3,3,3,4,3
S026,4,4,1,2,5,4,4,5
S027,1,2,2,2,4,2,3,3
S028,5,4,4,4,2,2,3,2
S029,5,3,5,2,4,5,4,4
S030,3,4,3,3,4,3,4,3
S031,3,3,2,3,4,2,3,2
S032,4,4,4,4,5,4,5,5
S033,3,5,3,3,5,5,5,5
S034,3,3,4,3,2,2,3,2
S035,3,2,2,3,2,3,3,3
S036,5,4,4,3,5,5,5,5
S037,4,5,5,4,6,5,5,5
S038,5,4,5,3,5,4,6,4
S039,1,2,2,3,3,4,3,2
S040,2,4,3,3,3,5,3,5
S041,2,2,1,3,2,3,2,3
S042,3,5,4,3,4,3,4,2
S043,6,7,7,7,6,6,7,5
S044,1,2,3,2,2,1,1,1
S045,2,4,3,4,4,3,3,3
S046,3,4,3,3,5,4,4,4
S047,5,5,6,5,5,4,4,4
S048,1,3,4,2,1,1,4,1
S049,2,3,3,2,2,2,4,3
S050,4,4,5,4,4,5,4,4
