participant_id,item_1,item_2,item_3,item_4,item_5,item_6,item_7,item_8
S001,4,4,5,3,4,3,4,4
S002,6,2,6,2,6,2,6,2
S003,3,5,4,4,3,5,3,5
S004,7,1,7,1,7,1,7,1
S005,2,6,3,5,2,6,2,6
S006,5,3,5,3,5,3,5,3
S007,4,4,4,4,4,4,4,4
S008,6,2,6,2,6,2,6,2
S009,3,5,3,5,3,5,3,5
S010,7,1,7,1,7,1,7,1
S011,2,6,2,6,2,6,2,6
S012,5,3,5,3,5,3,5,3
S013,6,2,6,2,6,2,6,2
S014,3,5,3,5,3,5,3,5
S015,7,1,7,1,7,1,7,1
S016,5,3,5,3,5,3,5,3
S017,4,4,4,4,4,4,4,4
S018,6,2,6,2,6,2,6,2
S019,3,5,3,5,3,5,3,5
S020,7,1,7,1,7,1,7,1
S021,4,4,4,4,4,4,4,4
S022,5,3,5,3,5,3,5,3
S023,6,2,6,2,6,2,6,2
S024,3,5,3,5,3,5,3,5
S025,7,1,7,1,7,1,7,1
S026,5,3,5,3,5,3,5,3
S027,4,4,4,4,4,4,4,4
S028,6,2,6,2,6,2,6,2
S029,3,5,3,5,3,5,3,5
S030,7,1,7,1,7,1,7,1
