behavior_id,user_id,product_id,behavior_type,timestamp
1,89,63,view,2023-06-01
2,48,18,cart,2023-06-01
3,43,133,purchase,2023-06-01
4,33,171,cart,2023-06-01
5,4,141,purchase,2023-06-01
6,86,180,purchase,2023-06-01
7,25,15,cart,2023-06-01
8,11,37,cart,2023-06-01
9,70,181,purchase,2023-06-01
10,62,91,purchase,2023-06-01
11,60,152,cart,2023-06-01
12,60,179,view,2023-06-01
13,88,87,view,2023-06-01
14,33,63,purchase,2023-06-01
15,1,149,cart,2023-06-01
16,66,78,cart,2023-06-01
17,73,25,purchase,2023-06-01
18,39,17,cart,2023-06-01
19,12,75,purchase,2023-06-01
20,17,2,purchase,2023-06-01
21,31,146,view,2023-06-01
22,89,62,purchase,2023-06-01
23,84,198,purchase,2023-06-01
24,86,181,view,2023-06-01
25,18,85,purchase,2023-06-01
26,19,162,view,2023-06-01
27,21,69,purchase,2023-06-01
28,80,88,view,2023-06-01
29,75,175,cart,2023-06-01
30,10,91,purchase,2023-06-01
31,98,84,purchase,2023-06-01
32,45,133,cart,2023-06-01
33,8,110,cart,2023-06-01
34,21,8,cart,2023-06-01
35,77,17,view,2023-06-01
36,35,109,view,2023-06-01
37,18,154,purchase,2023-06-01
38,49,198,cart,2023-06-01
39,71,131,purchase,2023-06-01
40,30,137,cart,2023-06-01
41,43,142,purchase,2023-06-01
42,97,46,purchase,2023-06-01
43,45,147,purchase,2023-06-01
44,63,157,view,2023-06-01
45,94,163,view,2023-06-01
46,34,127,purchase,2023-06-01
47,98,169,view,2023-06-01
48,99,75,view,2023-06-01
49,62,82,cart,2023-06-01
50,47,16,view,2023-06-01
51,72,38,purchase,2023-06-01
52,5,45,cart,2023-06-01
53,46,162,view,2023-06-01
54,42,108,cart,2023-06-01
55,71,73,view,2023-06-01
56,50,37,cart,2023-06-01
57,14,197,purchase,2023-06-01
58,26,59,cart,2023-06-01
59,35,114,view,2023-06-01
60,86,49,view,2023-06-01
61,76,187,purchase,2023-06-01
62,41,138,purchase,2023-06-01
63,57,116,cart,2023-06-01
64,29,123,cart,2023-06-01
65,12,199,cart,2023-06-01
66,17,33,view,2023-06-01
67,25,14,view,2023-06-01
68,55,46,cart,2023-06-01
69,11,4,cart,2023-06-01
70,74,52,purchase,2023-06-01
71,97,75,view,2023-06-01
72,52,28,cart,2023-06-01
73,57,188,view,2023-06-01
74,20,75,view,2023-06-01
