user_id,age,gender,registration_date
1,19,M,2023-01-01
2,57,M,2023-01-01
3,28,F,2023-01-01
4,43,M,2023-01-01
5,22,M,2023-01-01
6,33,M,2023-01-01
7,49,F,2023-01-01
8,46,M,2023-01-01
9,58,M,2023-01-01
10,27,F,2023-01-01
11,18,M,2023-01-01
12,21,M,2023-01-01
13,22,F,2023-01-01
14,42,F,2023-01-01
15,21,M,2023-01-01
16,52,F,2023-01-01
17,60,M,2023-01-01
18,39,F,2023-01-01
19,28,F,2023-01-01
20,57,M,2023-01-01
21,60,F,2023-01-01
22,58,M,2023-01-01
23,29,M,2023-01-01
24,41,M,2023-01-01
25,50,F,2023-01-01
26,51,M,2023-01-01
27,30,F,2023-01-01
28,57,F,2023-01-01
29,37,F,2023-01-01
30,34,M,2023-01-01
31,41,F,2023-01-01
32,41,F,2023-01-01
33,35,M,2023-01-01
34,26,F,2023-01-01
35,23,F,2023-01-01
36,52,M,2023-01-01
37,49,M,2023-01-01
38,46,M,2023-01-01
39,58,F,2023-01-01
40,28,F,2023-01-01
41,31,F,2023-01-01
42,21,F,2023-01-01
43,21,M,2023-01-01
44,51,M,2023-01-01
45,62,F,2023-01-01
46,20,F,2023-01-01
47,33,F,2023-01-01
48,55,F,2023-01-01
49,40,F,2023-01-01
50,51,M,2023-01-01
51,22,F,2023-01-01
52,39,M,2023-01-01
53,19,F,2023-01-01
54,59,F,2023-01-01
55,49,M,2023-01-01
56,58,M,2023-01-01
57,36,F,2023-01-01
58,47,F,2023-01-01
59,23,M,2023-01-01
60,40,F,2023-01-01
61,40,F,2023-01-01
62,61,M,2023-01-01
63,52,F,2023-01-01
64,57,M,2023-01-01
65,26,F,2023-01-01
66,62,M,2023-01-01
67,46,M,2023-01-01
68,60,M,2023-01-01
69,44,F,2023-01-01
70,38,F,2023-01-01
71,54,F,2023-01-01
72,59,F,2023-01-01
73,43,M,2023-01-01
74,27,M,2023-01-01
75,19,F,2023-01-01
76,20,M,2023-01-01
77,18,M,2023-01-01
78,21,F,2023-01-01
79,47,M,2023-01-01
80,28,M,2023-01-01
81,21,M,2023-01-01
82,35,M,2023-01-01
83,47,F,2023-01-01
84,19,F,2023-01-01
85,61,M,2023-01-01
86,51,F,2023-01-01
87,30,F,2023-01-01
88,37,F,2023-01-01
89,52,M,2023-01-01
90,42,F,2023-01-01
91,51,F,2023-01-01
92,53,F,2023-01-01
93,24,M,2023-01-01
94,61,F,2023-01-01
95,26,M,2023-01-01
96,63,M,2023-01-01
97,59,F,2023-01-01
98,51,F,2023-01-01
99,38,F,2023-01-01
100,43,M,2023-01-01
