user_id,age,gender,registration_date
1,22,F,2023-01-01
2,54,F,2023-01-01
3,23,F,2023-01-01
4,64,M,2023-01-01
5,42,M,2023-01-01
6,33,M,2023-01-01
7,26,M,2023-01-01
8,53,M,2023-01-01
9,24,M,2023-01-01
10,24,F,2023-01-01
11,58,M,2023-01-01
12,20,F,2023-01-01
13,45,M,2023-01-01
14,39,F,2023-01-01
15,34,M,2023-01-01
16,64,M,2023-01-01
17,64,F,2023-01-01
18,59,M,2023-01-01
19,43,F,2023-01-01
20,43,M,2023-01-01
21,43,F,2023-01-01
22,40,M,2023-01-01
23,43,F,2023-01-01
24,62,M,2023-01-01
25,54,F,2023-01-01
26,24,M,2023-01-01
27,62,M,2023-01-01
28,22,F,2023-01-01
29,60,F,2023-01-01
30,28,M,2023-01-01
31,58,M,2023-01-01
32,64,F,2023-01-01
33,18,F,2023-01-01
34,32,F,2023-01-01
35,43,M,2023-01-01
36,35,F,2023-01-01
37,56,F,2023-01-01
38,28,F,2023-01-01
39,21,F,2023-01-01
40,62,F,2023-01-01
41,35,M,2023-01-01
42,49,M,2023-01-01
43,34,F,2023-01-01
44,54,F,2023-01-01
45,46,F,2023-01-01
46,27,M,2023-01-01
47,49,M,2023-01-01
48,50,M,2023-01-01
49,23,M,2023-01-01
50,33,M,2023-01-01
51,20,M,2023-01-01
52,26,F,2023-01-01
53,23,M,2023-01-01
54,51,F,2023-01-01
55,21,M,2023-01-01
56,43,F,2023-01-01
57,41,F,2023-01-01
58,19,M,2023-01-01
59,23,M,2023-01-01
60,19,F,2023-01-01
61,41,M,2023-01-01
62,56,F,2023-01-01
63,50,M,2023-01-01
64,48,M,2023-01-01
65,31,M,2023-01-01
66,53,M,2023-01-01
67,30,F,2023-01-01
68,19,M,2023-01-01
69,62,M,2023-01-01
70,54,M,2023-01-01
71,23,F,2023-01-01
72,28,M,2023-01-01
73,62,F,2023-01-01
74,58,M,2023-01-01
75,22,F,2023-01-01
76,22,M,2023-01-01
77,63,M,2023-01-01
78,27,M,2023-01-01
79,35,M,2023-01-01
80,23,M,2023-01-01
81,18,M,2023-01-01
82,60,M,2023-01-01
83,64,F,2023-01-01
84,38,M,2023-01-01
85,21,F,2023-01-01
86,49,F,2023-01-01
87,60,M,2023-01-01
88,24,M,2023-01-01
89,43,F,2023-01-01
90,42,F,2023-01-01
91,42,M,2023-01-01
92,64,F,2023-01-01
93,39,F,2023-01-01
94,54,F,2023-01-01
95,61,F,2023-01-01
96,24,F,2023-01-01
97,64,F,2023-01-01
98,25,F,2023-01-01
99,21,M,2023-01-01
100,57,F,2023-01-01
