客户ID,年龄,年收入,信贷历史长度,现有信贷数量,月还款额,负债收入比,就业状态,房产状态,教育水平,婚姻状况,目标变量
1001,32,85000,48,2,2500,0.35,1,1,3,1,0
1002,45,120000,72,1,1800,0.18,1,1,4,1,0
1003,28,45000,24,3,1200,0.32,1,0,2,0,1
1004,39,95000,60,2,2200,0.28,1,1,3,1,0
1005,52,150000,96,1,3500,0.28,1,1,4,1,0
1006,25,35000,12,4,800,0.27,0,0,2,0,1
1007,41,78000,84,2,1900,0.29,1,1,3,1,0
1008,33,62000,36,3,1500,0.29,1,0,3,0,0
1009,47,110000,108,1,2800,0.31,1,1,4,1,0
1010,29,38000,18,5,900,0.28,0,0,2,0,1
1011,36,88000,54,2,2100,0.29,1,1,3,1,0
1012,44,98000,66,2,2400,0.29,1,1,3,1,0
1013,31,72000,42,3,1800,0.30,1,0,3,0,0
1014,38,92000,48,2,2300,0.30,1,1,3,1,0
1015,26,42000,15,4,1000,0.29,0,0,2,0,1
1016,50,135000,90,1,3200,0.28,1,1,4,1,0
1017,35,65000,30,3,1600,0.30,1,0,3,0,1
1018,42,105000,78,2,2600,0.30,1,1,4,1,0
1019,27,48000,21,4,1100,0.28,1,0,2,0,1
1020,49,125000,84,1,3000,0.29,1,1,4,1,0
1021,34,55000,27,3,1300,0.28,1,0,2,0,1
1022,40,82000,57,2,2000,0.29,1,1,3,1,0
1023,46,115000,69,1,2900,0.30,1,1,4,1,0
1024,30,58000,33,3,1400,0.29,1,0,3,0,0
1025,37,75000,45,2,1900,0.30,1,1,3,1,0
1026,53,145000,99,1,3400,0.28,1,1,4,1,0
1027,24,32000,9,5,750,0.28,0,0,1,0,1
1028,43,102000,75,2,2500,0.29,1,1,4,1,0
1029,48,118000,81,1,2950,0.30,1,1,4,1,0
1030,33,68000,39,3,1700,0.30,1,0,3,0,0
1031,39,95000,63,2,2200,0.28,1,1,3,1,0
1032,28,52000,24,4,1250,0.29,1,0,2,0,1
1033,45,108000,66,2,2700,0.30,1,1,4,1,0
1034,51,140000,87,1,3300,0.28,1,1,4,1,0
1035,32,78000,48,2,1950,0.30,1,1,3,1,0
1036,26,40000,18,4,950,0.29,0,0,2,0,1
1037,41,86000,60,2,2100,0.29,1,1,3,1,0
1038,47,122000,75,1,3100,0.31,1,1,4,1,0
1039,35,61000,36,3,1550,0.31,1,0,3,0,1
1040,29,55000,30,3,1350,0.29,1,0,2,0,0
1041,44,99000,72,2,2450,0.30,1,1,3,1,0
1042,38,89000,51,2,2150,0.29,1,1,3,1,0
1043,50,132000,93,1,3150,0.29,1,1,4,1,0
1044,31,74000,45,3,1850,0.30,1,0,3,0,0
1045,27,46000,21,4,1100,0.29,1,0,2,0,1
1046,42,96000,69,2,2350,0.29,1,1,3,1,0
1047,36,67000,42,3,1650,0.30,1,0,3,0,1
1048,48,116000,78,1,2900,0.30,1,1,4,1,0
1049,34,59000,33,3,1450,0.30,1,0,2,0,0
1050,25,36000,12,5,850,0.28,0,0,1,0,1
